drop,participant,session,mriMode,isPractice,runFilename,contextRole,contextId,cueId,isSick,corrButton,response.keys,response.rt,response.corr,restaurant,food,isTrain,roundId,trialId,expStartWallTime,actualChoiceOnset,actualChoiceOffset,actualIsiOnset,actualIsiOffset,actualFeedbackOnset,actualFeedbackOffset,actualItiOnset,actualItiOffset,actualItiDuration,itiDriftAdjustment,stimOnset,stimOffset,itiDuration,itiOffset
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,1,No,right,None,,0,Sanraku Restaurant,japanese_food0.png,1,1,1,Sun Oct 30 13:56:11 2016,11.0193500519,,,15.0397150517,15.0401539803,16.0404539108,16.0408768654,19.990653038,,,10.0,15.0,5.0,20.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,1,No,right,None,,0,Sanraku Restaurant,japanese_food0.png,1,1,2,Sun Oct 30 13:56:11 2016,19.99295187,,,24.0204548836,24.0207920074,25.0210080147,25.0212039948,30.0048389435,,,20.0,25.0,5.0,30.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,0,Yes,left,left,2.32481193542,1,Sanraku Restaurant,japanese_food1.png,1,1,3,Sun Oct 30 13:56:11 2016,30.0070469379,32.4178948402,32.4183290005,33.4509978294,33.4513549805,34.4515969753,34.4518098831,37.9347999096,3.58222413063,-0.0929639339447,30.0,35.0,3.0,38.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,0,Yes,left,left,2.88131093979,1,Onigilly Express,japanese_food1.png,1,1,4,Sun Oct 30 13:56:11 2016,37.9373819828,40.8820519447,40.8823959827,41.9152019024,41.9155688286,42.9157829285,42.9159760475,45.9657549858,3.1180729866,-0.000616073608398,38.0,43.0,3.0,46.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,0,Yes,left,left,2.10568904877,1,Onigilly Express,japanese_food1.png,1,1,5,Sun Oct 30 13:56:11 2016,45.9681239128,48.1467318535,48.1470849514,49.1797838211,49.1801378727,50.180369854,50.1805779934,51.9477629662,1.85340809822,-0.0409028530121,46.0,51.0,1.0,52.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,1,No,right,right,2.39379501343,1,Sanraku Restaurant,japanese_food0.png,1,1,6,Sun Oct 30 13:56:11 2016,51.9501328468,54.4114890099,54.4118199348,55.4446768761,55.4450089931,56.4452228546,56.4454128742,57.9616348743,1.5886361599,-0.0175688266754,52.0,57.0,1.0,58.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,1,No,right,right,2.13325119019,1,Sanraku Restaurant,japanese_food0.png,1,1,7,Sun Oct 30 13:56:11 2016,57.9640119076,60.176461935,60.176817894,61.2095429897,61.2098958492,62.2101068497,62.2102999687,63.9601278305,1.82365703583,-0.0430917739868,58.0,63.0,1.0,64.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,0,Yes,left,left,1.59975600243,1,Onigilly Express,japanese_food1.png,1,1,8,Sun Oct 30 13:56:11 2016,63.9625959396,65.6249668598,65.6253049374,66.6580040455,66.6583418846,67.6585538387,67.6587460041,69.9755768776,2.37515616417,-0.0250878334045,64.0,69.0,1.0,70.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,0,Yes,left,left,1.39146494865,1,Sanraku Restaurant,japanese_food1.png,1,1,9,Sun Oct 30 13:56:11 2016,69.9779589176,71.4399390221,71.4402768612,72.4729619026,72.473295927,73.4735119343,73.4737069607,75.9559669495,2.5601811409,-0.0483539104462,70.0,75.0,1.0,76.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,1,No,right,right,1.69504189491,1,Onigilly Express,japanese_food0.png,1,1,10,Sun Oct 30 13:56:11 2016,75.9572880268,77.7215259075,77.7218639851,78.7544879913,78.7548248768,79.7550399303,79.7552309036,83.9544038773,4.27860307693,-0.0263550281525,76.0,81.0,3.0,84.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,0,Yes,left,left,1.92599987984,1,Sanraku Restaurant,japanese_food1.png,1,1,11,Sun Oct 30 13:56:11 2016,83.9568679333,85.9523780346,85.9527108669,86.9854178429,86.9857459068,87.9859578609,87.9861459732,89.9527909756,2.04774808884,-0.0262520313263,84.0,89.0,1.0,90.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,0,Yes,left,left,1.55818605423,1,Sanraku Restaurant,japanese_food1.png,1,1,12,Sun Oct 30 13:56:11 2016,89.9551479816,91.5841588974,91.5844910145,92.6171629429,92.6175088882,93.6177458763,93.6179499626,99.9506280422,6.41596102715,-0.0258529186249,90.0,95.0,5.0,100.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,0,Yes,left,left,1.02561306953,1,Sanraku Restaurant,japanese_food1.png,1,1,13,Sun Oct 30 13:56:11 2016,99.9529900551,101.047902822,101.048248053,102.081045866,102.081384897,103.081598997,103.081790924,105.948118925,2.95222115517,-0.0221657752991,100.0,105.0,1.0,106.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,0,Yes,left,left,1.66707110405,1,Onigilly Express,japanese_food1.png,1,1,14,Sun Oct 30 13:56:11 2016,105.95007205,107.679280043,107.679608822,108.712441921,108.712777853,109.71299386,109.71318388,111.979374886,2.32084417343,-0.0120847225189,106.0,111.0,1.0,112.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,1,No,right,right,1.27618288994,1,Onigilly Express,japanese_food0.png,1,1,15,Sun Oct 30 13:56:11 2016,111.981773853,113.327662945,113.327992916,114.360827923,114.361161947,115.36137104,115.361560822,121.960394859,6.67246413231,-0.0513529777527,112.0,117.0,5.0,122.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,1,No,right,right,2.02561998367,1,Onigilly Express,japanese_food0.png,1,1,16,Sun Oct 30 13:56:11 2016,121.962587833,124.058073997,124.058435917,125.091078043,125.091408968,126.091616869,126.091802835,127.958101034,1.94205403328,-0.0323259830475,122.0,127.0,1.0,128.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,0,Yes,left,left,0.940719127655,1,Onigilly Express,japanese_food1.png,1,1,17,Sun Oct 30 13:56:11 2016,127.960446835,128.973129034,128.973460913,130.006208897,130.006544828,131.006758928,131.006954908,135.956403971,5.02699708939,-0.032283782959,128.0,133.0,3.0,136.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,1,No,right,right,1.17023205757,1,Onigilly Express,japanese_food0.png,1,1,18,Sun Oct 30 13:56:11 2016,135.95874691,137.204165936,137.20449996,138.237231016,138.237587929,139.237814903,139.238029003,141.953578949,2.79595899582,-0.0338089466095,136.0,141.0,1.0,142.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,1,1,No,right,right,1.33977389336,1,Onigilly Express,japanese_food0.png,1,1,19,Sun Oct 30 13:56:11 2016,141.955943823,143.368937969,143.36927104,144.402179003,144.402525902,145.402766943,145.402974844,147.953340054,2.63118696213,-0.029039144516,142.0,147.0,1.0,148.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,1,No,right,right,0.979645013809,1,Sanraku Restaurant,japanese_food0.png,1,1,20,Sun Oct 30 13:56:11 2016,147.955696821,149.000643969,149.000980854,150.03384304,150.034200907,151.034435034,151.034623861,153.967623949,2.99947500229,-0.020879983902,148.0,153.0,1.0,154.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,2,2,No,None,left,2.56772899628,0,Izakaya Sozai,japanese_food2.png,0,1,1,Sun Oct 30 13:56:11 2016,157.976596832,160.63041997,160.630789042,163.979647875,163.979980946,163.980193853,163.980383873,168.014655828,3.98155617714,-0.0184438228607,158.0,164.0,4.0,168.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,0,0,No,None,left,1.96125602722,0,Sanraku Restaurant,japanese_food1.png,0,1,2,Sun Oct 30 13:56:11 2016,168.01740098,170.044427872,170.044792891,174.026839972,174.027185917,174.027415991,174.027605057,176.027520895,1.95044112206,-0.0495588779449,168.0,174.0,2.0,176.0
0,con001,001,scan,0,itis/csv/con001_run0_itis.csv,irrelevant,2,0,No,None,left,1.22960519791,0,Izakaya Sozai,japanese_food1.png,0,1,3,Sun Oct 30 13:56:11 2016,176.029873848,177.325683832,177.32604599,182.041126013,182.041486025,182.041713953,182.041900873,188.025028944,5.93555212021,-0.0644478797913,176.0,182.0,6.0,188.0
